id,title,content
1,コンピュータミュージック１,この授業では、コンピュータミュージック制作の基礎的な能力の習得やシステムを理解する事が目標となる。効果音やBGM及びトラック（楽曲）の作成など基本的なニーズに対応すると共に、よりハイレベルな授業へ向かうためのイントロダクションと基礎力の習得も行う。ソフトウェアの使用法だけでは なく、制作における基本的なワークフローの理解と共に、制作時に必須となるコンセプトワークや様々な制作状況への対応、センサーを使ったインタラクティブなパフォーマンス／楽器制作も体験してもらう。制作は座学で身につける事は困難なため、徹底したワークショップ形式で講義は進行する。このため、履修者は常に制作及び課題をこなし、履修者同士で競作してもらう。後半はグループでの相互評価や共作も体験する。短期間でより深い段階に進むのに必要な基礎能力を身につけるため、厳しい内容となるかもしれないが、是非脱落せずについて来て欲しい。
2,脳と行動,脳を取り巻く領域は、神経科学、解剖学、生理学、情報科学、そして心理学といった多くの研究分野にまたがり、包括的かつ総合的な学問体系を成している。本講義では神経生理学的な脳の構造と機能を理解すると共に、認知科学的な脳の「振る舞い（behavior）」について学ぶ事を目的とする。また学問領域を横断するSFCらしい視点で講義を構成する。
3,知覚運動スキル論,本講義の主題は、環境、タスク、人間の関係を考慮し、スポーツをはじめとする身体運動における人間の知覚-運動スキルについて理解することである。特に「モーター・ビヘイビア（motor behavior: 運動行動）」の学問分野を中心に、知覚および運動に関する代表的な理論について理解し、簡単な演習問題等を通して人間の持つ非言語的、包括的な身体の知について考察をすることを目的とする。
4,地域戦略研究（イスラーム圏）,イスラーム圏とイスラームについて、各地域でのイスラーム実践の様子を概観することにより、その理解を目指す。インドネシアを専門とする担当者を中心に、イスラーム圏各地をフィールドとするSFC出身の複数の研究者によるリレー講義の形態を取る。今学期は、女性のヴェール問題、イスラームと人権・道徳、イスラーム圏の文学・映画、日本のイスラーム、という4つテーマを設定、履修者は、各テーマの講義を聞き、また関連する文献を講読することで理解を深めたい。授業は、担当者と複数の外部研究者による講義、および履修者の文献講読・ディスカッションの形で行われる。
5,サブカルチャーと社会認識,近年、日本では韓国のエンターテイメントの人気が定着したのに比べ、中国語圏の映画やテレビドラマ、ポップミュージックなどは一般的にはほとんど知られていない。しかし、中国語圏と日本のエンターテイメント界とは戦前から深い縁で結ばれており、現在も映画人や音楽人たちによる交流が綿々と続いている。本講義では、そうした中国語圏のポップカルチャーの中核となっているチャイニーズ・ポップス（中国語流行歌曲）を中心に、実際に様々な音楽や映像を鑑賞しながら、上海租界時代から現在に至るまでの中国語圏各地域のポップカルチャー事情を、当時の社会的・政治的・歴史的背景とともに検討しつつ、日中交流の経緯を振り返り、日中関係の未来についても探ってみたい。
6,数理と社会,数理科学がいかに現実の問題の解決に役立つかを学びます。大切なのは公式や結果を覚えるのではなく、現実の問題を数学の問題に置き換える過程を理解することです。
7,総合政策学の創造,07学則適用の学生が対象です。07学則適用の学生はこのシラバスの登録番号で履修申告してください（総合政策学部生は「総合政策学の創造」、環境情報学部生は「環境情報学の創造」）。その上で、学期前半開講「総合政策学」（金３）および「環境情報学」（木１）それぞれの授業に出席してください。成績は両授業の総合評価です。授業内容についてはそれぞれの科目のシラバスを参照してください。
8,先端研究ワークショップ（ＸＤ４）,XDプログラムに所属する学生を対象として、研究の進捗レビューとディスカッションを行う。XDプログラムの全教員がクリティックとして参加し、グループティーチングの手法にそって多角的な視点から研究の方向性を検討、議論する。履修者には口答発表形式によるプレゼンテーションと、インタラクティブ発表形式によるデモが求められる。
9,統計基礎,この授業では，データサイエンスの入門科目として，実際のデータの分析をしながら統計学の基礎とその応用を学んでいきます． データの収集や整理，統計分析，プレゼンテーションに至るまでの入門的技法を実践的に習得します．　具体的には，データの平均，分散，相関といった記述統計，母集団と標本，確率分布と標本分布，大数の法則などの確率統計の基礎，それらに基づく推定や検定といった統計的推測，そして分散分析や回帰分析のような統計モデルの手法までを扱います．　利用する統計ソフトに応じて，RクラスとJMPクラスが開講されます．このうち，Rは無償ソフト，JMPはSFCキャンパスライセンスソフトです．担当者によって利用する統計ソフトが異なるので注意して下さい．今年度は以下のように開講される予定です：（2018/3/14修正あり） - Rクラス：春学期 月曜日１時限（担当：馬場国博）、秋学期開講予定（担当：小林凌雅、新美潤一郎） - JMPクラス：秋学期開講予定（担当：片岡正昭）
10,社会安全政策（治安）,「社会安全政策論」とは、「犯罪を典型とする人間の反社会的行為から、個人と、個人の暮らしのための社会基盤を守る（犯罪等を統制・制御する）ための政策の在り方を研究する」ものです。「安全」な社会は、自由な民主主義社会にとって不可欠の前提ですが、その「安全」は、所与のものとして当然に存在しているのではなく、多くの人々（個人、団体、共同体、国家など）の人為的な営みによって辛うじて維持されていることをを理解していただきたいと思います。また、「政策」として検討する以上は、「勧善懲悪」、「国家権力の抑制」といった単純な議論ではなく、政策の実現可能性を念頭に置きつつ、限られたリソースの中で、政策効果とコストのバランス、政策効果と自由・人権の制約とのバランスをいかに図るか、ということを考える必要があります。本講義は、これらの観点から、学生諸君とともに、安全な社会を実現する政策論を探求するものです。
11,現代金融論,この授業では、現代の経済にきわめて重要な役割を持つ金融について学ぶ。金融の機能、金融機関や金融市場が経済において果たしている役割、金融に対する規制の意味と最近の動向、リーマンショック、EU市場や中国を巡る問題といった国際金融市場の現象の背景と経済への影響、金融と財政の関係、人口高齢化が金融市場に与える影響、金融政策の役割、金融とITの融合（フィンテック）などを、経済学に基づく理論的基礎、データの読み方と分析の手法、金融の実務の視点などから多角的に学ぶ。授業は、学生によるプレゼンテーションと議論、講義を組み合わせていくので、積極的に授業に参加する意思のある学生の登録が求められる。この授業全体を通じて、現代経済における金融の役割について不可欠な内容を包括的に学び、金融市場を理解し、広い視座で経済を見る目を養うことを目的とする。
12,コンサルティング技法,コンサルティングとは、企業組織の意思決定者に対して客観的第三者が専門性を持ってアドバイスや支援を行う活動です。本授業では、企業経営者および経営幹部の抱える最優先経営課題に対する解決提言を行い（場合によっては実行支援をも行うことで）企業価値を高める「経営コンサルティング」に焦点をあて、この活動に求められる技量、考え方、資質に関する理解を深めることを目的とします。多くの企業において経営課題が高度化・複雑化する環境下において、コンサルティングがどのように価値を提供し得るのか、コンサルティング活動に必要なスキルや手法にはどのようなものがあり、これらをどのように組み合わせてどうやって進めていけばよいのか、に関して、講義、演習、ディスカッションを通じて考えを深めることにより、コンサルティングの基本レベルの実践力を養います。
13,ネットワークコミュニケーション実践,多様化するインターネットを介したコミュニケーションツールについて、それぞれの特性や適性について学びながら、それらのネットコミュニティの活用方法を模索する。ソーシャルネットワーキングシステム（SNS）、twitter、facebook、Instagram、電子会議室、その他の様々なネットワーコミュニケーションツールを用いて、問題意識や興味関心を喚起させ、人とつながることや、人とのコミュニケーションや摩擦を経て変化することを体験しながら、最終的に何らかの社会的価値を生み出すプロセスを実践していく。この授業では、特に地域社会におけるネットワークコミュニケーションにフォーカスし、情報化社会の中にある地域活性や地域の課題解決のヒントを探る。
