lecture_id,r_id,degree
1,532,0.9408808949
1,55,0.2477556907
1,477,0.2477556907
1,406,0.1988116075
1,506,0.1988116075
1,261,0.1986838647
1,372,0.1986838647
1,631,0.1957611472
1,709,0.1957611472
2,511,0.451118184
2,360,0.3644364531
2,736,0.319100986
2,587,0.302063743
2,349,0.2692069257
2,102,0.2419498396
2,180,0.2419498396
2,76,0.2397505983
2,486,0.2397505983
3,675,0.4231965258
3,717,0.3999082334
3,358,0.3420548659
3,181,0.2637021856
3,487,0.2637021856
3,663,0.2196835959
3,413,0.2195939992
3,102,0.1681812296
3,180,0.1681812296
4,267,0.5441849839
4,548,0.5353108347
4,72,0.3812945037
4,266,0.3812945037
4,407,0.3630847007
4,703,0.3408712246
4,188,0.2322174457
4,225,0.2322174457
4,32,0.2158295142
5,621,0.2264258218
5,700,0.1878206609
5,714,0.1878206609
5,644,0.1799643542
5,550,0.1688094823
5,567,0.1670711657
5,669,0.1638852667
5,731,0.1453825993
5,4,0.1380463771
6,544,0.2838400126
6,581,0.2284985771
6,741,0.2284985771
6,521,0.217412432
6,155,0.2107865557
6,317,0.2107865557
6,93,0.1785053938
6,491,0.1785053938
6,747,0.1781756191
7,315,0.2725548592
7,90,0.2132402256
7,758,0.1678204336
7,591,0.1490260146
7,19,0.1466370027
7,249,0.1343320861
7,762,0.1332976275
7,760,0.1327492679
7,79,0.1326240806
8,356,0.2481338779
8,466,0.178441187
8,176,0.1744862208
8,213,0.1744862208
8,620,0.1712079247
8,309,0.1659563748
8,325,0.1540837284
8,187,0.1518041595
8,672,0.1404501807
9,259,0.9291965421
9,505,0.9291965421
9,154,0.8400446567
9,588,0.8400446567
9,463,0.2783034744
9,307,0.2689109994
9,570,0.2689109994
9,673,0.2570418806
9,411,0.2412107078
10,668,0.3230544253
10,521,0.2193028634
10,378,0.216269652
10,79,0.2115410518
10,277,0.2115410518
10,296,0.2115410518
10,405,0.2026007996
10,143,0.2021742671
10,172,0.2007952999
11,172,0.4657543635
11,427,0.2828526113
11,639,0.2771880462
11,79,0.2425172848
11,277,0.2425172848
11,296,0.2425172848
11,171,0.2331320131
11,182,0.2068847675
11,307,0.2047012979
12,212,0.3346749371
